0,,Toxicroak,Toxicroak,Toxicroak,Umbreon,Azumarill,Azumarill,Alolan muk,Grimer,Grimer,Skuntank,Skuntank,Skuntank,Drapion,Drapion,Tentacruel,Tentacruel,Alolan raticate,Alolan raticate,Venomoth,Venomoth,Golbat,Crobat,Alolan ninetales,Alolan ninetales,Nidoqueen,Sneasel,Alolan marowak,Sableye,Mawile,Dusclops,Venusaur,Venusaur,Dustox,Froslass,Tyranitar,Swalot,Qwilfish,Qwilfish
Venusaur,Venusaur.vine whip.frenzy plant.sludge bomb.1500,0.147506562,0.03484252,0.147506562,0.069336219,0.463888889,0.663888889,-0.268965517,-0.075703235,0.222222222,-0.158333333,-0.168831169,-0.158333333,0.116545894,-0.35942029,0.157638889,0.147222222,0.180555556,0.180555556,-0.701058201,-0.701058201,-0.681704261,-0.577427822,-0.071341463,-0.071341463,0.211800487,-0.154689093,-0.04692623,0.059294872,0.170108696,-0.047815534,0,-0.070833333,-0.649253731,0.035416667,0.24982493,-0.384848485,0.5875,0.595833333
Venusaur,Venusaur.razor leaf.frenzy plant.sludge bomb.1500,0.14208224,0.016754156,0.14208224,0.233333333,0.488888889,0.677777778,-0.149904215,-0.027355837,0.291666667,-0.136507937,-0.008189033,-0.136507937,0.325,-0.263768116,0.133333333,0.1125,0.258333333,0.258333333,-0.537037037,-0.537037037,-0.573934837,-0.6167979,0.13401084,0.13401084,0.206528792,0.130224261,-0.116598361,0.4125,0.245833333,0.379166667,0.070833333,0,-0.563432836,-0.030729167,0.541666667,-0.184848485,0.666666667,0.292045455
Dustox,Dustox.confusion.silver wind.sludge bomb.1224,0.771144279,0.771144279,0.820895522,-0.372294372,-0.104396496,0.649253731,-0.213793103,0.529850746,0.445273632,-0.107578988,-0.164502165,-0.107578988,-0.105169803,-0.313043478,0.373134328,0.373134328,-0.496551724,-0.496551724,-0.042328042,-0.044973545,0.034638836,0.082931798,0.141791045,0.033268616,0.390547264,-0.458715596,-0.016454612,-0.47008547,-0.426086957,-0.247572816,0.649253731,0.563432836,0,-0.137068563,-0.508403361,0.279850746,0.347014925,0.347014925
Froslass,Froslass.powder snow.avalanche.shadow ball.1500,0.283854167,0.377604167,0.497395833,-0.383116883,-0.21705163,0.526041667,0.06016523,0.377604167,0.364583333,0.299140963,0.288318452,0.288318452,0.230298913,-0.513043478,-0.0859375,-0.0859375,0.268229167,0.268229167,-0.030960648,-0.030960648,0.497395833,0.361979167,0.045774051,-0.068597561,0.588541667,-0.030963303,0.3671875,-0.337606838,-0.223199728,-0.132281553,-0.035416667,0.030729167,0.137068563,0,-0.348739496,0.390625,-0.119479597,-0.119479597
Tyranitar,Tyranitar.smack down.stone edge.crunch.1500,-0.716535433,-0.133505371,-0.716535433,0.196078431,-0.398550725,-0.471014493,0.302521008,0.291316527,-0.029961352,0.420168067,0.308123249,0.308123249,0.24929972,0.151260504,0.179030987,0.179030987,0.178479668,0.178479668,0.517273576,0.517273576,0.680672269,0.515406162,0.343376375,0.320967411,0.102005766,0.621848739,0.529411765,0.352941176,0.039970771,0.445378151,-0.24982493,-0.541666667,0.508403361,0.348739496,0,-0.001094983,-0.301652893,-0.301652893
Swalot,Swalot.infestation.sludge bomb.ice beam.1500,-0.446194226,-0.257217848,0.024481031,-0.145021645,-0.005379886,0.606060606,0.218181818,-0.060235264,-0.352320675,0.123232323,-0.101010101,-0.101010101,0.183838384,-0.27826087,-0.151041667,-0.151041667,0.038453501,0.038453501,-0.404761905,-0.420634921,0.0683527,0.008907977,-0.064498645,-0.130081301,0.078021087,-0.101306644,-0.516393443,0.093939394,-0.256521739,-0.02185937,0.384848485,0.184848485,-0.279850746,-0.390625,0.001094983,0,-0.363636364,-0.363636364
Qwilfish,Qwilfish.water gun.aqua tail.sludge wave.1500,-0.052124683,0.094813562,0.168044077,-0.305194805,0.033986106,0.473829201,0.033399829,0.17630854,-0.104596018,0.366391185,0.314049587,0.314049587,0.55922865,-0.05737214,-0.010545799,-0.028387569,-0.074114183,-0.074114183,-0.489417989,-0.481481481,0.078564179,0.027916965,0.29476584,-0.140652646,0.597796143,0.285591528,0.19031974,-0.026206117,-0.039310097,0.272727273,-0.5875,-0.666666667,-0.347014925,0.119479597,0.301652893,0.363636364,0,0.008264463
Qwilfish,Qwilfish.water gun.aqua tail.ice beam.1500,-0.052124683,0.094813562,0.168044077,-0.305194805,-0.237318841,0.077209845,0.033399829,0.17630854,-0.104596018,0.366391185,0.314049587,0.314049587,0.55922865,-0.05737214,-0.010545799,-0.028387569,-0.074114183,-0.074114183,-0.489417989,-0.481481481,0.078564179,0.027916965,0.336088154,-0.100271003,0.597796143,0.285591528,0.19031974,-0.026206117,-0.039310097,0.272727273,-0.595833333,-0.292045455,-0.347014925,0.119479597,0.301652893,0.363636364,-0.008264463,0
Muk,Muk.poison jab.thunder punch.dark pulse.1500,-0.283464567,-0.251968504,0.124156032,-0.235930736,0.257471264,0.636781609,-0.128735632,-0.130801688,-0.172995781,0.004179728,-0.066427825,-0.066427825,0.149125437,-0.388405797,0.354022989,0.354022989,0.011494253,0.011494253,-0.425925926,-0.404761905,0.108685507,0.150131234,0.416091954,0.185627511,-0.321167883,0.179415797,-0.25,-0.448717949,-0.286956522,0.07164379,0.06408046,-0.104166667,-0.276119403,-0.128178879,-0.424369748,-0.157575758,-0.108007979,-0.108007979
Muk,Muk.poison jab.thunder punch.sludge wave.1500,-0.283464567,-0.251968504,0.124156032,-0.235930736,0.257471264,0.636781609,-0.128735632,-0.130801688,-0.172995781,0.004179728,-0.066427825,-0.066427825,0.149125437,-0.388405797,0.354022989,0.354022989,0.011494253,0.011494253,-0.425925926,-0.404761905,0.108685507,0.150131234,0.262068966,0.248275862,-0.579075426,0.179415797,-0.180327869,-0.448717949,-0.286956522,-0.266990291,0.265517241,0.138649425,-0.276119403,-0.37109375,-0.424369748,-0.157575758,-0.108007979,-0.108007979
