0.050222,Walrein,frost breath.water pulse.blizzard,Mamoswine,powder snow.avalanche.ancient power,Dewgong,ice shard.icy wind.water pulse
0.050422,Piloswine,powder snow.avalanche.stone edge,Cloyster,ice shard.avalanche.hydro pump,Jynx,frost breath.avalanche.psyshock
0.0507537,Piloswine,powder snow.avalanche.stone edge,Alolan ninetales,powder snow.ice beam.dazzling gleam,Sneasel,ice shard.ice punch.foul play
0.0511585,Walrein,frost breath.water pulse.blizzard,Piloswine,powder snow.avalanche.stone edge,Cloyster,ice shard.avalanche.hydro pump
0.0517463,Flygon,mud shot.dragon claw.earthquake,Mamoswine,powder snow.avalanche.ancient power,Sneasel,ice shard.ice punch.foul play
0.0519219,Piloswine,powder snow.avalanche.stone edge,Froslass,powder snow.avalanche.shadow ball,Sneasel,ice shard.ice punch.foul play
0.0527317,Mamoswine,powder snow.avalanche.ancient power,Alolan ninetales,powder snow.ice beam.psyshock,Sneasel,ice shard.ice punch.foul play
0.0533683,Walrein,frost breath.water pulse.blizzard,Froslass,powder snow.avalanche.shadow ball,Alolan ninetales,powder snow.ice beam.dazzling gleam
0.0534683,Walrein,frost breath.water pulse.blizzard,Piloswine,powder snow.avalanche.stone edge,Froslass,powder snow.avalanche.shadow ball
0.0543902,Flygon,mud shot.dragon claw.earthquake,Mamoswine,powder snow.avalanche.ancient power,Abomasnow,powder snow.outrage.blizzard
0.0544585,Mamoswine,powder snow.avalanche.ancient power,Dewgong,ice shard.icy wind.water pulse,Jynx,frost breath.avalanche.psyshock
0.0547366,Froslass,powder snow.avalanche.shadow ball,Alolan ninetales,powder snow.ice beam.dazzling gleam,Alolan ninetales,powder snow.ice beam.psyshock
0.0549488,Alolan ninetales,powder snow.ice beam.psyshock,Jynx,frost breath.avalanche.psyshock,Abomasnow,powder snow.outrage.blizzard
0.0560049,Flygon,mud shot.dragon claw.earthquake,Piloswine,powder snow.avalanche.stone edge,Jynx,frost breath.avalanche.psyshock
0.056678,Flygon,mud shot.dragon claw.earthquake,Walrein,frost breath.water pulse.blizzard,Jynx,frost breath.avalanche.psyshock
0.0567951,Walrein,frost breath.water pulse.blizzard,Mamoswine,powder snow.avalanche.ancient power,Abomasnow,powder snow.outrage.blizzard
0.0576195,Mamoswine,powder snow.avalanche.ancient power,Cloyster,ice shard.avalanche.hydro pump,Froslass,powder snow.avalanche.shadow ball
0.0584829,Cloyster,ice shard.avalanche.hydro pump,Alolan ninetales,powder snow.ice beam.psyshock,Jynx,frost breath.avalanche.psyshock
0.0587854,Cloyster,ice shard.avalanche.hydro pump,Alolan ninetales,powder snow.ice beam.psyshock,Sneasel,ice shard.ice punch.foul play
0.0588634,Froslass,powder snow.avalanche.shadow ball,Jynx,frost breath.avalanche.psyshock,Abomasnow,powder snow.outrage.blizzard
0.0594,Mamoswine,powder snow.avalanche.ancient power,Piloswine,powder snow.avalanche.stone edge,Rhyperior,smack down.surf.earthquake
0.0596829,Piloswine,powder snow.avalanche.stone edge,Alolan ninetales,powder snow.ice beam.dazzling gleam,Alolan ninetales,powder snow.ice beam.psyshock
0.0606244,Piloswine,powder snow.avalanche.stone edge,Jynx,frost breath.avalanche.psyshock,Abomasnow,powder snow.outrage.blizzard
0.0606268,Piloswine,powder snow.avalanche.stone edge,Cloyster,ice shard.avalanche.hydro pump,Sneasel,ice shard.ice punch.foul play
0.061378,Cloyster,ice shard.avalanche.hydro pump,Jynx,frost breath.avalanche.psyshock,Abomasnow,powder snow.outrage.blizzard
0.0620049,Mamoswine,powder snow.avalanche.ancient power,Dewgong,ice shard.icy wind.water pulse,Sneasel,ice shard.ice punch.foul play
0.0621,Mamoswine,powder snow.avalanche.ancient power,Cloyster,ice shard.avalanche.hydro pump,Alolan ninetales,powder snow.ice beam.dazzling gleam
0.0629537,Walrein,frost breath.water pulse.blizzard,Cloyster,ice shard.avalanche.hydro pump,Alolan ninetales,powder snow.ice beam.psyshock
0.0632683,Piloswine,powder snow.avalanche.stone edge,Alolan ninetales,powder snow.ice beam.psyshock,Jynx,frost breath.avalanche.psyshock
